user;date;plank_time
ACHINT;2019-07-29;80
ACHINT;2019-07-30;90
ACHINT;2019-07-31;91
ACHINT;2019-08-01;101
ACHINT;2019-08-05;80
ACHINT;2019-08-06;80
ACHINT;2019-08-08;91
ACHINT;2019-08-09;100
ACHINT;2019-08-12;110
ACHINT;2019-08-19;90
ACHINT;2019-08-21;120
ACHINT;2019-08-22;120
ACHINT;2019-09-02;90
ACHINT;2019-09-03;102
ACHINT;2019-09-04;121
ACHINT;2019-09-05;90
ACHINT;2019-09-13;95
CAMILLA;2019-07-30;120
CAMILLA;2019-08-12;150
CAMILLA;2019-08-13;154
CAMILLA;2019-08-19;155
CAMILLA;2019-08-21;176
CAMILLA;2019-08-22;190
CAMILLA;2019-08-26;132
CAMILLA;2019-09-02;135
CAMILLA;2019-09-03;160
CAMILLA;2019-09-04;185
CAMILLA;2019-09-05;158
CAMILLA;2019-09-16;120
PK;2019-07-29;181
PK;2019-07-30;185
PK;2019-07-31;190
PK;2019-08-01;195
PK;2019-08-05;200
PK;2019-08-06;205
PK;2019-08-08;210
PK;2019-08-09;215
PK;2019-08-12;240
PK;2019-08-13;255
PK;2019-08-19;250
PK;2019-08-26;260
PK;2019-09-03;270
PK;2019-09-13;270
MELISSA;2019-07-29;69
MELISSA;2019-07-30;72
MELISSA;2019-07-31;83
MELISSA;2019-08-01;106
MELISSA;2019-08-02;100
MELISSA;2019-08-05;81
MELISSA;2019-08-06;110
MELISSA;2019-08-07;90
MELISSA;2019-08-09;100
MELISSA;2019-08-12;75
MELISSA;2019-08-13;60
MELISSA;2019-08-19;75
MELISSA;2019-08-21;81
MELISSA;2019-09-13;90
MELISSA;2019-09-16;86
OLE;2019-07-29;130
OLE;2019-07-30;110
OLE;2019-07-31;120
OLE;2019-08-01;90
OLE;2019-08-05;83
OLE;2019-08-07;60
OLE;2019-08-21;123
OLE;2019-08-26;130
OLE;2019-09-04;130
OLE;2019-09-05;135
OLE;2019-09-13;120
OLE;2019-09-16;135
RUBEN;2019-07-29;200
RUBEN;2019-07-31;195
RUBEN;2019-08-01;210
RUBEN;2019-08-05;240
RUBEN;2019-08-06;245
RUBEN;2019-08-07;280
RUBEN;2019-08-08;300
RUBEN;2019-08-09;360
RUBEN;2019-09-03;375
RUBEN;2019-09-04;425
SAINYAM;2019-08-01;30
SAINYAM;2019-08-05;80
SAINYAM;2019-08-13;90
SAINYAM;2019-08-19;100
SAINYAM;2019-08-21;110
SAINYAM;2019-08-22;94
SAINYAM;2019-08-26;124
SAINYAM;2019-09-03;130
SAINYAM;2019-09-04;130
SAINYAM;2019-09-05;76
SAINYAM;2019-09-13;70
HENRIK;2019-09-02;60
HENRIK;2019-09-03;65
HENRIK;2019-09-04;70
HENRIK;2019-09-05;75
HENRIK;2019-09-13;83
HENRIK;2019-09-16;91